"GEO_ID","NAME","B19013_001E","B19013_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Race/Ethnic Group","Population Groups",
"1400000US36005036000","Census Tract 360; Bronx County; New York","65938","11508","001","Total population",
"1400000US36005036100","Census Tract 361; Bronx County; New York","18799","2972","001","Total population",
"1400000US36005036300","Census Tract 363; Bronx County; New York","18499","2436","001","Total population",
"1400000US36005036400","Census Tract 364; Bronx County; New York","55833","18167","001","Total population",
"1400000US36005036501","Census Tract 365.01; Bronx County; New York","21122","3452","001","Total population",
"1400000US36005036502","Census Tract 365.02; Bronx County; New York","19740","5555","001","Total population",
"1400000US36005036700","Census Tract 367; Bronx County; New York","23720","3549","001","Total population",
"1400000US36005036800","Census Tract 368; Bronx County; New York","43889","15443","001","Total population",
"1400000US36005036901","Census Tract 369.01; Bronx County; New York","14821","6413","001","Total population",
"1400000US36005036902","Census Tract 369.02; Bronx County; New York","25100","7272","001","Total population",
"1400000US36005037000","Census Tract 370; Bronx County; New York","51515","8033","001","Total population",
"1400000US36005037100","Census Tract 371; Bronx County; New York","19293","6501","001","Total population",
"1400000US36005037200","Census Tract 372; Bronx County; New York","46250","6706","001","Total population",
"1400000US36005037300","Census Tract 373; Bronx County; New York","29033","3052","001","Total population",
"1400000US36005037400","Census Tract 374; Bronx County; New York","25974","5913","001","Total population",
"1400000US36005037504","Census Tract 375.04; Bronx County; New York","15707","4211","001","Total population",
"1400000US36005037600","Census Tract 376; Bronx County; New York","50139","9746","001","Total population",
"1400000US36005037800","Census Tract 378; Bronx County; New York","35625","7199","001","Total population",
"1400000US36005037900","Census Tract 379; Bronx County; New York","27841","7643","001","Total population",
"1400000US36005038000","Census Tract 380; Bronx County; New York","33506","9246","001","Total population",
"1400000US36005038100","Census Tract 381; Bronx County; New York","25891","6050","001","Total population",
"1400000US36005038200","Census Tract 382; Bronx County; New York","46953","12550","001","Total population",
"1400000US36005038301","Census Tract 383.01; Bronx County; New York","26295","5626","001","Total population",
"1400000US36005038302","Census Tract 383.02, Bronx County, New York","22917","9607","001","Total population",
"1400000US36005038500","Census Tract 385; Bronx County; New York","20229","3506","001","Total population",
"1400000US36005038600","Census Tract 386; Bronx County; New York","54904","15154","001","Total population",
"1400000US36005038700","Census Tract 387; Bronx County; New York","19362","4876","001","Total population",
"1400000US36005038800","Census Tract 388; Bronx County; New York","51298","13976","001","Total population",
"1400000US36005038900","Census Tract 389; Bronx County; New York","28240","6134","001","Total population",
"1400000US36005039000","Census Tract 390; Bronx County; New York","32364","11576","001","Total population",
"1400000US36005039100","Census Tract 391; Bronx County; New York","30661","3590","001","Total population",
"1400000US36005039200","Census Tract 392; Bronx County; New York","39457","7749","001","Total population",
"1400000US36005039300","Census Tract 393; Bronx County; New York","20891","2757","001","Total population",
"1400000US36005039400","Census Tract 394; Bronx County; New York","33708","9358","001","Total population",
"1400000US36005039500","Census Tract 395; Bronx County; New York","25702","6267","001","Total population",
"1400000US36005039600","Census Tract 396; Bronx County; New York","35221","7519","001","Total population",
"1400000US36005039700","Census Tract 397; Bronx County; New York","21228","3785","001","Total population",
"1400000US36005039800","Census Tract 398; Bronx County; New York","70552","22081","001","Total population",
"1400000US36005039901","Census Tract 399.01; Bronx County; New York","22747","4157","001","Total population",
"1400000US36005039902","Census Tract 399.02; Bronx County; New York","24799","12346","001","Total population",
"1400000US36005040100","Census Tract 401; Bronx County; New York","33487","12414","001","Total population",
"1400000US36005040302","Census Tract 403.02; Bronx County; New York","25724","3634","001","Total population",
"1400000US36005040303","Census Tract 403.03; Bronx County; New York","40731","3304","001","Total population",
"1400000US36005040304","Census Tract 403.04; Bronx County; New York","34643","6704","001","Total population",
"1400000US36005040400","Census Tract 404; Bronx County; New York","36691","13817","001","Total population",
"1400000US36005040501","Census Tract 405.01; Bronx County; New York","34009","7616","001","Total population",
"1400000US36005040502","Census Tract 405.02; Bronx County; New York","23583","3756","001","Total population",
"1400000US36005040600","Census Tract 406; Bronx County; New York","44773","20698","001","Total population",
"1400000US36005040701","Census Tract 407.01; Bronx County; New York","30354","11110","001","Total population",
"1400000US36005040702","Census Tract 407.02; Bronx County; New York","29978","6669","001","Total population",
"1400000US36005040800","Census Tract 408; Bronx County; New York","32244","9064","001","Total population",
"1400000US36005040900","Census Tract 409; Bronx County; New York","46278","5017","001","Total population",
"1400000US36005041100","Census Tract 411; Bronx County; New York","41047","16778","001","Total population",
"1400000US36005041300","Census Tract 413; Bronx County; New York","38796","6755","001","Total population",
"1400000US36005041400","Census Tract 414; Bronx County; New York","53750","11121","001","Total population",
"1400000US36005041500","Census Tract 415; Bronx County; New York","42207","12015","001","Total population",
"1400000US36005041800","Census Tract 418; Bronx County; New York","37829","9653","001","Total population",
"1400000US36005041900","Census Tract 419; Bronx County; New York","45127","11361","001","Total population",
"1400000US36005042000","Census Tract 420; Bronx County; New York","28125","17234","001","Total population",
"1400000US36005042100","Census Tract 421; Bronx County; New York","36768","8852","001","Total population",
"1400000US36005042200","Census Tract 422; Bronx County; New York","51701","4007","001","Total population",
"1400000US36005042300","Census Tract 423; Bronx County; New York","31786","7727","001","Total population",
"1400000US36005042400","Census Tract 424; Bronx County; New York","57716","17466","001","Total population",
"1400000US36005042500","Census Tract 425; Bronx County; New York","28643","12892","001","Total population",
"1400000US36005042600","Census Tract 426; Bronx County; New York","54306","19457","001","Total population",
"1400000US36005042800","Census Tract 428; Bronx County; New York","63017","8432","001","Total population",
"1400000US36005042901","Census Tract 429.01; Bronx County; New York","39625","10042","001","Total population",
"1400000US36005042902","Census Tract 429.02; Bronx County; New York","27553","5356","001","Total population",
"1400000US36005043000","Census Tract 430; Bronx County; New York","52096","11595","001","Total population",
"1400000US36005043100","Census Tract 431, Bronx County, New York","31028","6653","001","Total population",
"1400000US36005043400","Census Tract 434; Bronx County; New York","43722","7762","001","Total population",
"1400000US36005043600","Census Tract 436; Bronx County; New York","57564","8243","001","Total population",
"1400000US36005044200","Census Tract 442; Bronx County; New York","38603","19223","001","Total population",
"1400000US36005044400","Census Tract 444; Bronx County; New York","67727","15227","001","Total population",
"1400000US36005044800","Census Tract 448; Bronx County; New York","78456","15151","001","Total population",
"1400000US36005044901","Census Tract 449.01; Bronx County; New York","67083","8828","001","Total population",
"1400000US36005044902","Census Tract 449.02; Bronx County; New York","62656","18677","001","Total population",
"1400000US36005045101","Census Tract 451.01; Bronx County; New York","62286","17936","001","Total population",
