"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US360050141003","Block Group 3; Census Tract 141; Bronx County; New York","35179","13104",
"1500000US360050143001","Block Group 1; Census Tract 143; Bronx County; New York","16678","4826",
"1500000US360050144001","Block Group 1; Census Tract 144; Bronx County; New York","10470","2043",
"1500000US360050144002","Block Group 2; Census Tract 144; Bronx County; New York","17228","7987",
"1500000US360050144003","Block Group 3; Census Tract 144; Bronx County; New York","25056","13074",
"1500000US360050144004","Block Group 4; Census Tract 144; Bronx County; New York","36405","8437",
"1500000US360050144005","Block Group 5; Census Tract 144; Bronx County; New York","55614","48148",
"1500000US360050144006","Block Group 6; Census Tract 144; Bronx County; New York","109010","104419",
"1500000US360050145001","Block Group 1; Census Tract 145; Bronx County; New York","25838","9821",
"1500000US360050145002","Block Group 2; Census Tract 145; Bronx County; New York","25855","10133",
"1500000US360050145003","Block Group 3; Census Tract 145; Bronx County; New York","-","**",
"1500000US360050145004","Block Group 4; Census Tract 145; Bronx County; New York","36632","14531",
"1500000US360050147011","Block Group 1; Census Tract 147.01; Bronx County; New York","29667","25653",
"1500000US360050147012","Block Group 2; Census Tract 147.01; Bronx County; New York","36618","8633",
"1500000US360050147013","Block Group 3; Census Tract 147.01; Bronx County; New York","15583","6175",
"1500000US360050147021","Block Group 1; Census Tract 147.02; Bronx County; New York","11719","7683",
"1500000US360050147022","Block Group 2; Census Tract 147.02; Bronx County; New York","36078","29695",
"1500000US360050147023","Block Group 3; Census Tract 147.02; Bronx County; New York","17227","15924",
"1500000US360050147024","Block Group 4; Census Tract 147.02; Bronx County; New York","17736","17490",
"1500000US360050149001","Block Group 1; Census Tract 149; Bronx County; New York","-","**",
"1500000US360050149002","Block Group 2; Census Tract 149; Bronx County; New York","80208","29512",
"1500000US360050149003","Block Group 3; Census Tract 149; Bronx County; New York","41311","20935",
"1500000US360050151001","Block Group 1; Census Tract 151; Bronx County; New York","-","**",
"1500000US360050151002","Block Group 2; Census Tract 151; Bronx County; New York","28379","4368",
"1500000US360050151003","Block Group 3; Census Tract 151; Bronx County; New York","25808","7881",
"1500000US360050151004","Block Group 4; Census Tract 151; Bronx County; New York","75310","33341",
"1500000US360050152001","Block Group 1; Census Tract 152; Bronx County; New York","86891","21298",
"1500000US360050152002","Block Group 2; Census Tract 152; Bronx County; New York","74375","10168",
"1500000US360050153001","Block Group 1; Census Tract 153; Bronx County; New York","24583","18623",
"1500000US360050153002","Block Group 2; Census Tract 153; Bronx County; New York","55878","12450",
"1500000US360050153003","Block Group 3; Census Tract 153; Bronx County; New York","54358","22128",
"1500000US360050155001","Block Group 1; Census Tract 155; Bronx County; New York","37993","12082",
"1500000US360050155002","Block Group 2; Census Tract 155; Bronx County; New York","28250","23401",
"1500000US360050157001","Block Group 1; Census Tract 157; Bronx County; New York","-","**",
"1500000US360050157002","Block Group 2; Census Tract 157; Bronx County; New York","26993","16316",
"1500000US360050157003","Block Group 3; Census Tract 157; Bronx County; New York","50327","16815",
